Category Code,Category Path,Name,Full Code,Can Be Auctioned,Can Be Classified,Durations,Tradevine Caters for this Category
2676,Antiques-collectables > Art-deco-retro > Fashion-beauty,Fashion & beauty,187-2192-2676,Yes,No,"2,3,4,5,6,7,10",Yes
2677,Antiques-collectables > Art-deco-retro > Furniture,Furniture,187-2192-2677,Yes,No,"2,3,4,5,6,7,10",Yes
6498,Antiques-collectables > Art-deco-retro > Home-décor > Baskets-boxes,Baskets & boxes,187-2192-2678-6498,Yes,No,"2,3,4,5,6,7,10",Yes
6493,Antiques-collectables > Art-deco-retro > Home-décor > Lamps-lightshades,Lamps & lightshades,187-2192-2678-6493,Yes,No,"2,3,4,5,6,7,10",Yes
6494,Antiques-collectables > Art-deco-retro > Home-décor > Mirrors,Mirrors,187-2192-2678-6494,Yes,No,"2,3,4,5,6,7,10",Yes
6499,Antiques-collectables > Art-deco-retro > Home-décor > Other,Other,187-2192-2678-6499,Yes,No,"2,3,4,5,6,7,10",Yes
6497,Antiques-collectables > Art-deco-retro > Home-décor > Pictures-frames,Pictures & frames,187-2192-2678-6497,Yes,No,"2,3,4,5,6,7,10",Yes
6496,Antiques-collectables > Art-deco-retro > Home-décor > Plates-bowls-dishes,"Plates, bowls & dishes",187-2192-2678-6496,Yes,No,"2,3,4,5,6,7,10",Yes
6495,Antiques-collectables > Art-deco-retro > Home-décor > Vases-jugs,Vases & jugs,187-2192-2678-6495,Yes,No,"2,3,4,5,6,7,10",Yes
2679,Antiques-collectables > Art-deco-retro > Jewellery,Jewellery,187-2192-2679,Yes,No,"2,3,4,5,6,7,10",Yes
2680,Antiques-collectables > Art-deco-retro > Kitchenware,Kitchenware,187-2192-2680,Yes,No,"2,3,4,5,6,7,10",Yes
2681,Antiques-collectables > Art-deco-retro > Other,Other,187-2192-2681,Yes,No,"2,3,4,5,6,7,10",Yes
2682,Antiques-collectables > Automotive-transport > Aviation,Aviation,187-443-2682,Yes,No,"2,3,4,5,6,7,10",Yes
2668,Antiques-collectables > Automotive-transport > Cars,Cars,187-443-2668,Yes,No,"2,3,4,5,6,7,10",Yes
2669,Antiques-collectables > Automotive-transport > Motorbikes,Motorbikes,187-443-2669,Yes,No,"2,3,4,5,6,7,10",Yes
2673,Antiques-collectables > Automotive-transport > Other,Other,187-443-2673,Yes,No,"2,3,4,5,6,7,10",Yes
2670,Antiques-collectables > Automotive-transport > Ships-boats,Ships & boats,187-443-2670,Yes,No,"2,3,4,5,6,7,10",Yes
2671,Antiques-collectables > Automotive-transport > Trains,Trains,187-443-2671,Yes,No,"2,3,4,5,6,7,10",Yes
2672,Antiques-collectables > Automotive-transport > Trucks,Trucks,187-443-2672,Yes,No,"2,3,4,5,6,7,10",Yes
4346,Antiques-collectables > Banknotes > Africa,Africa,187-4342-4346,Yes,No,"2,3,4,5,6,7,10",Yes
4347,Antiques-collectables > Banknotes > Asia,Asia,187-4342-4347,Yes,No,"2,3,4,5,6,7,10",Yes
4348,Antiques-collectables > Banknotes > Australia-Pacific-Islands,Australia & Pacific Islands,187-4342-4348,Yes,No,"2,3,4,5,6,7,10",Yes
4349,Antiques-collectables > Banknotes > Europe-ex-UK,Europe (ex UK),187-4342-4349,Yes,No,"2,3,4,5,6,7,10",Yes
4344,Antiques-collectables > Banknotes > New-Zealand > Decimal,Decimal,187-4342-4343-4344,Yes,No,"2,3,4,5,6,7,10",Yes
4345,Antiques-collectables > Banknotes > New-Zealand > Predecimal,Pre-decimal,187-4342-4343-4345,Yes,No,"2,3,4,5,6,7,10",Yes
4352,Antiques-collectables > Banknotes > Other,Other,187-4342-4352,Yes,No,"2,3,4,5,6,7,10",Yes
4350,Antiques-collectables > Banknotes > United-Kingdom,United Kingdom,187-4342-4350,Yes,No,"2,3,4,5,6,7,10",Yes
4351,Antiques-collectables > Banknotes > USA,USA,187-4342-4351,Yes,No,"2,3,4,5,6,7,10",Yes
2890,Antiques-collectables > Bottles,Bottles,187-2890,Yes,No,"2,3,4,5,6,7,10",Yes
3210,Antiques-collectables > Clocks-scientific-instruments,Clocks & scientific instruments,187-3210,Yes,No,"2,3,4,5,6,7,10",Yes
5488,Antiques-collectables > Coins > Africa,Africa,187-4353-5488,Yes,No,"2,3,4,5,6,7,10",Yes
5509,Antiques-collectables > Coins > Ancient,Ancient,187-4353-5509,Yes,No,"2,3,4,5,6,7,10",Yes
5503,Antiques-collectables > Coins > Asia,Asia,187-4353-5503,Yes,No,"2,3,4,5,6,7,10",Yes
5504,Antiques-collectables > Coins > Australia,Australia,187-4353-5504,Yes,No,"2,3,4,5,6,7,10",Yes
5505,Antiques-collectables > Coins > Europe-ex-UK,Europe (ex UK),187-4353-5505,Yes,No,"2,3,4,5,6,7,10",Yes
4354,Antiques-collectables > Coins > Exonumia,Exonumia,187-4353-4354,Yes,No,"2,3,4,5,6,7,10",Yes
4356,Antiques-collectables > Coins > New-Zealand-Decimal > Bronze-copper,Bronze & copper,187-4353-4355-4356,Yes,No,"2,3,4,5,6,7,10",Yes
4359,Antiques-collectables > Coins > New-Zealand-Decimal > Collections,Collections,187-4353-4355-4359,Yes,No,"2,3,4,5,6,7,10",Yes
4360,Antiques-collectables > Coins > New-Zealand-Decimal > Commemorative,Commemorative,187-4353-4355-4360,Yes,No,"2,3,4,5,6,7,10",Yes
4358,Antiques-collectables > Coins > New-Zealand-Decimal > Gold,Gold,187-4353-4355-4358,Yes,No,"2,3,4,5,6,7,10",Yes
4362,Antiques-collectables > Coins > New-Zealand-Decimal > Other,Other,187-4353-4355-4362,Yes,No,"2,3,4,5,6,7,10",Yes
4361,Antiques-collectables > Coins > New-Zealand-Decimal > Proof-sets,Proof sets,187-4353-4355-4361,Yes,No,"2,3,4,5,6,7,10",Yes
4357,Antiques-collectables > Coins > New-Zealand-Decimal > Silver,Silver,187-4353-4355-4357,Yes,No,"2,3,4,5,6,7,10",Yes
4406,Antiques-collectables > Coins > New-Zealand-Predecimal > Collections,Collections,187-4353-4363-4406,Yes,No,"2,3,4,5,6,7,10",Yes
4370,Antiques-collectables > Coins > New-Zealand-Predecimal > Crowns,Crowns,187-4353-4363-4370,Yes,No,"2,3,4,5,6,7,10",Yes
4369,Antiques-collectables > Coins > New-Zealand-Predecimal > Florins,Florins,187-4353-4363-4369,Yes,No,"2,3,4,5,6,7,10",Yes
5489,Antiques-collectables > Coins > New-Zealand-Predecimal > Half-crowns,Half crowns,187-4353-4363-5489,Yes,No,"2,3,4,5,6,7,10",Yes
4364,Antiques-collectables > Coins > New-Zealand-Predecimal > Halfpennies,Halfpennies,187-4353-4363-4364,Yes,No,"2,3,4,5,6,7,10",Yes
4371,Antiques-collectables > Coins > New-Zealand-Predecimal > Other,Other,187-4353-4363-4371,Yes,No,"2,3,4,5,6,7,10",Yes
4365,Antiques-collectables > Coins > New-Zealand-Predecimal > Pennies,Pennies,187-4353-4363-4365,Yes,No,"2,3,4,5,6,7,10",Yes
4368,Antiques-collectables > Coins > New-Zealand-Predecimal > Shillings,Shillings,187-4353-4363-4368,Yes,No,"2,3,4,5,6,7,10",Yes
4367,Antiques-collectables > Coins > New-Zealand-Predecimal > Sixpence,Sixpence,187-4353-4363-4367,Yes,No,"2,3,4,5,6,7,10",Yes
4366,Antiques-collectables > Coins > New-Zealand-Predecimal > Threepences,Threepences,187-4353-4363-4366,Yes,No,"2,3,4,5,6,7,10",Yes
5510,Antiques-collectables > Coins > Other,Other,187-4353-5510,Yes,No,"2,3,4,5,6,7,10",Yes
5506,Antiques-collectables > Coins > Pacific-Islands,Pacific Islands,187-4353-5506,Yes,No,"2,3,4,5,6,7,10",Yes
5210,Antiques-collectables > Coins > Reproduction-coins,Reproduction coins,187-4353-5210,Yes,No,"2,3,4,5,6,7,10",Yes
5507,Antiques-collectables > Coins > United-Kingdom,United Kingdom,187-4353-5507,Yes,No,"2,3,4,5,6,7,10",Yes
5508,Antiques-collectables > Coins > USA,USA,187-4353-5508,Yes,No,"2,3,4,5,6,7,10",Yes
446,Antiques-collectables > Cultural-ethnic,Cultural & ethnic,187-446,Yes,No,"2,3,4,5,6,7,10",Yes
3233,Antiques-collectables > Documents-maps > Documents,Documents,187-3232-3233,Yes,No,"2,3,4,5,6,7,10",Yes
3234,Antiques-collectables > Documents-maps > Maps,Maps,187-3232-3234,Yes,No,"2,3,4,5,6,7,10",Yes
3235,Antiques-collectables > Documents-maps > Other,Other,187-3232-3235,Yes,No,"2,3,4,5,6,7,10",Yes
6491,Antiques-collectables > Flags,Flags,187-6491,Yes,No,"2,3,4,5,6,7,10",Yes
778,Antiques-collectables > Food-drink > Coke,Coke,187-447-778,Yes,No,"2,3,4,5,6,7,10",Yes
3231,Antiques-collectables > Food-drink > McDonalds,McDonalds,187-447-3231,Yes,No,"2,3,4,5,6,7,10",Yes
713,Antiques-collectables > Food-drink > Other,Other,187-447-713,Yes,No,"2,3,4,5,6,7,10",Yes
3218,Antiques-collectables > Furniture-woodenware > Furniture > 19001949,1900-1949,187-3215-3216-3218,Yes,No,"2,3,4,5,6,7,10",Yes
3219,Antiques-collectables > Furniture-woodenware > Furniture > 1950today,1950-today,187-3215-3216-3219,Yes,No,"2,3,4,5,6,7,10",Yes
3217,Antiques-collectables > Furniture-woodenware > Furniture > Pre-1900,Pre 1900,187-3215-3216-3217,Yes,No,"2,3,4,5,6,7,10",Yes
3222,Antiques-collectables > Furniture-woodenware > Woodenware > 19001949,1900-1949,187-3215-3220-3222,Yes,No,"2,3,4,5,6,7,10",Yes
3223,Antiques-collectables > Furniture-woodenware > Woodenware > 1950today,1950-today,187-3215-3220-3223,Yes,No,"2,3,4,5,6,7,10",Yes
3221,Antiques-collectables > Furniture-woodenware > Woodenware > Pre-1900,Pre 1900,187-3215-3220-3221,Yes,No,"2,3,4,5,6,7,10",Yes
4302,Antiques-collectables > Jewellery > Brooches,Brooches,187-3212-4302,Yes,No,"2,3,4,5,6,7,10",Yes
4301,Antiques-collectables > Jewellery > Earrings,Earrings,187-3212-4301,Yes,No,"2,3,4,5,6,7,10",Yes
4299,Antiques-collectables > Jewellery > Necklaces,Necklaces,187-3212-4299,Yes,No,"2,3,4,5,6,7,10",Yes
4303,Antiques-collectables > Jewellery > Other,Other,187-3212-4303,Yes,No,"2,3,4,5,6,7,10",Yes
4300,Antiques-collectables > Jewellery > Rings,Rings,187-3212-4300,Yes,No,"2,3,4,5,6,7,10",Yes
6328,Antiques-collectables > Militaria > Badges,Badges,187-451-6328,Yes,No,"2,3,4,5,6,7,10",Yes
784,Antiques-collectables > Militaria > Knives,Knives,187-451-784,Yes,No,"2,3,4,5,6,7,10",Yes
3385,Antiques-collectables > Militaria > Medals,Medals,187-451-3385,Yes,No,"2,3,4,5,6,7,10",Yes
785,Antiques-collectables > Militaria > Modern,Modern,187-451-785,Yes,No,"2,3,4,5,6,7,10",Yes
727,Antiques-collectables > Militaria > Other,Other,187-451-727,Yes,No,"2,3,4,5,6,7,10",Yes
5848,Antiques-collectables > Militaria > Swords,Swords,187-451-5848,Yes,No,"2,3,4,5,6,7,10",Yes
1503,Antiques-collectables > Militaria > Uniforms,Uniforms,187-451-1503,Yes,No,"2,3,4,5,6,7,10",Yes
90,Antiques-collectables > Militaria > WWII-earlier,WWII & earlier,187-451-90,Yes,No,"2,3,4,5,6,7,10",Yes
6217,Antiques-collectables > Movie-TV-memorabilia > Autographs,Autographs,187-6216-6217,Yes,No,"2,3,4,5,6,7,10",Yes
6218,Antiques-collectables > Movie-TV-memorabilia > Batman,Batman,187-6216-6218,Yes,No,"2,3,4,5,6,7,10",Yes
6219,Antiques-collectables > Movie-TV-memorabilia > Disney,Disney,187-6216-6219,Yes,No,"2,3,4,5,6,7,10",Yes
9220,Antiques-collectables > Movie-TV-memorabilia > James-Bond,James Bond,187-6216-9220,Yes,No,"2,3,4,5,6,7,10",Yes
6221,Antiques-collectables > Movie-TV-memorabilia > Lord-of-the-Rings,Lord of the Rings,187-6216-6221,Yes,No,"2,3,4,5,6,7,10",Yes
9218,Antiques-collectables > Movie-TV-memorabilia > Marilyn-Monroe,Marilyn Monroe,187-6216-9218,Yes,No,"2,3,4,5,6,7,10",Yes
6231,Antiques-collectables > Movie-TV-memorabilia > Other,Other,187-6216-6231,Yes,No,"2,3,4,5,6,7,10",Yes
6222,Antiques-collectables > Movie-TV-memorabilia > Posters,Posters,187-6216-6222,Yes,No,"2,3,4,5,6,7,10",Yes
6224,Antiques-collectables > Movie-TV-memorabilia > Smurfs,Smurfs,187-6216-6224,Yes,No,"2,3,4,5,6,7,10",Yes
6227,Antiques-collectables > Movie-TV-memorabilia > Star-Trek,Star Trek,187-6216-6227,Yes,No,"2,3,4,5,6,7,10",Yes
6228,Antiques-collectables > Movie-TV-memorabilia > Star-Wars,Star Wars,187-6216-6228,Yes,No,"2,3,4,5,6,7,10",Yes
6223,Antiques-collectables > Movie-TV-memorabilia > The-Simpsons,The Simpsons,187-6216-6223,Yes,No,"2,3,4,5,6,7,10",Yes
6229,Antiques-collectables > Movie-TV-memorabilia > Thunderbirds,Thunderbirds,187-6216-6229,Yes,No,"2,3,4,5,6,7,10",Yes
6230,Antiques-collectables > Movie-TV-memorabilia > Trading-cards,Trading cards,187-6216-6230,Yes,No,"2,3,4,5,6,7,10",Yes
9219,Antiques-collectables > Movie-TV-memorabilia > Twilight,Twilight,187-6216-9219,Yes,No,"2,3,4,5,6,7,10",Yes
5289,Antiques-collectables > Museum-pieces-artifacts > Artifacts,Artifacts,187-5288-5289,Yes,No,"2,3,4,5,6,7,10",Yes
5290,Antiques-collectables > Museum-pieces-artifacts > Bones,Bones,187-5288-5290,Yes,No,"2,3,4,5,6,7,10",Yes
5291,Antiques-collectables > Museum-pieces-artifacts > Fossils-rocks-minerals,"Fossils, rocks & minerals",187-5288-5291,Yes,No,"2,3,4,5,6,7,10",Yes
3214,Antiques-collectables > Museum-pieces-artifacts > Other,Other,187-5288-3214,Yes,No,"2,3,4,5,6,7,10",Yes
5292,Antiques-collectables > Museum-pieces-artifacts > Taxidermy,Taxidermy,187-5288-5292,Yes,No,"2,3,4,5,6,7,10",Yes
449,Antiques-collectables > New-Zealand-Maori,New Zealand & Maori,187-449,Yes,No,"2,3,4,5,6,7,10",Yes
2939,Antiques-collectables > Ornaments-figurines > Animals,Animals,187-2724-2939,Yes,No,"2,3,4,5,6,7,10",Yes
2935,Antiques-collectables > Ornaments-figurines > Miniatures,Miniatures,187-2724-2935,Yes,No,"2,3,4,5,6,7,10",Yes
2937,Antiques-collectables > Ornaments-figurines > Other,Other,187-2724-2937,Yes,No,"2,3,4,5,6,7,10",Yes
2936,Antiques-collectables > Ornaments-figurines > People,People,187-2724-2936,Yes,No,"2,3,4,5,6,7,10",Yes
192,Antiques-collectables > Other,Other,187-192,Yes,No,"2,3,4,5,6,7,10",Yes
745,Antiques-collectables > Phonecards > New-Zealand,New Zealand,187-453-745,Yes,No,"2,3,4,5,6,7,10",Yes
676,Antiques-collectables > Phonecards > World,World,187-453-676,Yes,No,"2,3,4,5,6,7,10",Yes
9606,Antiques-collectables > Pins-badges-patches > Patches > Girl-Guides,Girl Guides,187-454-793-9606,Yes,No,"2,3,4,5,6,7,10",Yes
2245,Antiques-collectables > Pins-badges-patches > Patches > Other,Other,187-454-793-2245,Yes,No,"2,3,4,5,6,7,10",Yes
2244,Antiques-collectables > Pins-badges-patches > Patches > Scouts,Scouts,187-454-793-2244,Yes,No,"2,3,4,5,6,7,10",Yes
794,Antiques-collectables > Pins-badges-patches > Pins-badges,Pins & badges,187-454-794,Yes,No,"2,3,4,5,6,7,10",Yes
1883,Antiques-collectables > Postcards-writing > Comic,Comic,187-455-1883,Yes,No,"2,3,4,5,6,7,10",Yes
1884,Antiques-collectables > Postcards-writing > Maori-heritage,Maori heritage,187-455-1884,Yes,No,"2,3,4,5,6,7,10",Yes
2667,Antiques-collectables > Postcards-writing > Military,Military,187-455-2667,Yes,No,"2,3,4,5,6,7,10",Yes
1892,Antiques-collectables > Postcards-writing > New-Zealand-cities > North-Island,North Island,187-455-1885-1892,Yes,No,"2,3,4,5,6,7,10",Yes
2532,Antiques-collectables > Postcards-writing > New-Zealand-cities > South-Island,South Island,187-455-1885-2532,Yes,No,"2,3,4,5,6,7,10",Yes
1895,Antiques-collectables > Postcards-writing > Other,Other,187-455-1895,Yes,No,"2,3,4,5,6,7,10",Yes
2666,Antiques-collectables > Postcards-writing > Pens,Pens,187-455-2666,Yes,No,"2,3,4,5,6,7,10",Yes
1893,Antiques-collectables > Postcards-writing > Transport,Transport,187-455-1893,Yes,No,"2,3,4,5,6,7,10",Yes
1894,Antiques-collectables > Postcards-writing > World,World,187-455-1894,Yes,No,"2,3,4,5,6,7,10",Yes
6492,Antiques-collectables > Royal-family,Royal family,187-6492,Yes,No,"2,3,4,5,6,7,10",Yes
3225,Antiques-collectables > Silver-metalware-tins > Brass-copper,Brass & copper,187-3224-3225,Yes,No,"2,3,4,5,6,7,10",Yes
3227,Antiques-collectables > Silver-metalware-tins > Other,Other,187-3224-3227,Yes,No,"2,3,4,5,6,7,10",Yes
3229,Antiques-collectables > Silver-metalware-tins > Silver > Silver-plate,Silver plate,187-3224-3228-3229,Yes,No,"2,3,4,5,6,7,10",Yes
3230,Antiques-collectables > Silver-metalware-tins > Silver > Sterling,Sterling,187-3224-3228-3230,Yes,No,"2,3,4,5,6,7,10",Yes
3226,Antiques-collectables > Silver-metalware-tins > Tins,Tins,187-3224-3226,Yes,No,"2,3,4,5,6,7,10",Yes
4395,Antiques-collectables > Stamps > Africa,Africa,187-4383-4395,Yes,No,"2,3,4,5,6,7,10",Yes
4396,Antiques-collectables > Stamps > Asia,Asia,187-4383-4396,Yes,No,"2,3,4,5,6,7,10",Yes
4397,Antiques-collectables > Stamps > Australia,Australia,187-4383-4397,Yes,No,"2,3,4,5,6,7,10",Yes
4398,Antiques-collectables > Stamps > Europe-ex-Great-Britain,Europe (ex Great Britain),187-4383-4398,Yes,No,"2,3,4,5,6,7,10",Yes
4401,Antiques-collectables > Stamps > Great-Britain,Great Britain,187-4383-4401,Yes,No,"2,3,4,5,6,7,10",Yes
4385,Antiques-collectables > Stamps > New-Zealand > Booklets,Booklets,187-4383-4384-4385,Yes,No,"2,3,4,5,6,7,10",Yes
4387,Antiques-collectables > Stamps > New-Zealand > Collections,Collections,187-4383-4384-4387,Yes,No,"2,3,4,5,6,7,10",Yes
4389,Antiques-collectables > Stamps > New-Zealand > First-day-covers-Decimal,First day covers (Decimal),187-4383-4384-4389,Yes,No,"2,3,4,5,6,7,10",Yes
4388,Antiques-collectables > Stamps > New-Zealand > First-day-covers-Predecimal,First day covers (Pre-decimal),187-4383-4384-4388,Yes,No,"2,3,4,5,6,7,10",Yes
4391,Antiques-collectables > Stamps > New-Zealand > Mint-Decimal,Mint (Decimal),187-4383-4384-4391,Yes,No,"2,3,4,5,6,7,10",Yes
4390,Antiques-collectables > Stamps > New-Zealand > Mint-Predecimal,Mint (Pre-decimal),187-4383-4384-4390,Yes,No,"2,3,4,5,6,7,10",Yes
4394,Antiques-collectables > Stamps > New-Zealand > Other,Other,187-4383-4384-4394,Yes,No,"2,3,4,5,6,7,10",Yes
4386,Antiques-collectables > Stamps > New-Zealand > Sheets,Sheets,187-4383-4384-4386,Yes,No,"2,3,4,5,6,7,10",Yes
4393,Antiques-collectables > Stamps > New-Zealand > Used-Decimal,Used (Decimal),187-4383-4384-4393,Yes,No,"2,3,4,5,6,7,10",Yes
4392,Antiques-collectables > Stamps > New-Zealand > Used-Predecimal,Used (Pre-decimal),187-4383-4384-4392,Yes,No,"2,3,4,5,6,7,10",Yes
4404,Antiques-collectables > Stamps > Other > First-day-covers,First day covers,187-4383-4402-4404,Yes,No,"2,3,4,5,6,7,10",Yes
4403,Antiques-collectables > Stamps > Other > Mint,Mint,187-4383-4402-4403,Yes,No,"2,3,4,5,6,7,10",Yes
4405,Antiques-collectables > Stamps > Other > Used,Used,187-4383-4402-4405,Yes,No,"2,3,4,5,6,7,10",Yes
4399,Antiques-collectables > Stamps > Pacific-Islands,Pacific Islands,187-4383-4399,Yes,No,"2,3,4,5,6,7,10",Yes
4400,Antiques-collectables > Stamps > USA,USA,187-4383-4400,Yes,No,"2,3,4,5,6,7,10",Yes
3236,Antiques-collectables > Textiles-linen,Textiles & linen,187-3236,Yes,No,"2,3,4,5,6,7,10",Yes
2105,Antiques-collectables > Tobacco-related > Ashtrays,Ashtrays,187-2104-2105,Yes,No,"2,3,4,5,6,7,10",Yes
3185,Antiques-collectables > Tobacco-related > Cigarette-cards,Cigarette cards,187-2104-3185,Yes,No,"2,3,4,5,6,7,10",Yes
2106,Antiques-collectables > Tobacco-related > Lighters,Lighters,187-2104-2106,Yes,No,"2,3,4,5,6,7,10",Yes
2108,Antiques-collectables > Tobacco-related > Other,Other,187-2104-2108,Yes,No,"2,3,4,5,6,7,10",Yes
2107,Antiques-collectables > Tobacco-related > Tins,Tins,187-2104-2107,Yes,No,"2,3,4,5,6,7,10",Yes
6083,Antiques-collectables > Tools,Tools,187-6083,Yes,No,"2,3,4,5,6,7,10",Yes
7302,Art > Art-supplies-equipment > Brushes,Brushes,339-3848-7302,Yes,No,"2,3,4,5,6,7,10",Yes
7300,Art > Art-supplies-equipment > Easels-drawing-boards,Easels & drawing boards,339-3848-7300,Yes,No,"2,3,4,5,6,7,10",Yes
7304,Art > Art-supplies-equipment > Other,Other,339-3848-7304,Yes,No,"2,3,4,5,6,7,10",Yes
7307,Art > Art-supplies-equipment > Paints-varnishes > Acrylicbased,Acrylic-based,339-3848-7305-7307,Yes,No,"2,3,4,5,6,7,10",Yes
7306,Art > Art-supplies-equipment > Paints-varnishes > Oilbased,Oil-based,339-3848-7305-7306,Yes,No,"2,3,4,5,6,7,10",Yes
7533,Art > Art-supplies-equipment > Paints-varnishes > Other,Other,339-3848-7305-7533,Yes,No,"2,3,4,5,6,7,10",Yes
7308,Art > Art-supplies-equipment > Paints-varnishes > Waterbased,Water-based,339-3848-7305-7308,Yes,No,"2,3,4,5,6,7,10",Yes
7303,Art > Art-supplies-equipment > Paper-pads-canvas,"Paper, pads & canvas",339-3848-7303,Yes,No,"2,3,4,5,6,7,10",Yes
7301,Art > Art-supplies-equipment > Technical-pens-aids,Technical pens & aids,339-3848-7301,Yes,No,"2,3,4,5,6,7,10",Yes
7318,Art > Carvings-sculpture > Metal,Metal,339-488-7318,Yes,No,"2,3,4,5,6,7,10",Yes
5850,Art > Carvings-sculpture > Other,Other,339-488-5850,Yes,No,"2,3,4,5,6,7,10",Yes
7319,Art > Carvings-sculpture > Stone,Stone,339-488-7319,Yes,No,"2,3,4,5,6,7,10",Yes
7317,Art > Carvings-sculpture > Wood,Wood,339-488-7317,Yes,No,"2,3,4,5,6,7,10",Yes
5487,Art > Digital-art,Digital art,339-5487,Yes,No,"2,3,4,5,6,7,10",Yes
3849,Art > Drawings,Drawings,339-3849,Yes,No,"2,3,4,5,6,7,10",Yes
7534,Art > Hanging-sculptures,Hanging sculptures,339-7534,Yes,No,"2,3,4,5,6,7,10",Yes
5446,Art > NZ-Artists,NZ Artists,339-5446,Yes,No,"2,3,4,5,6,7,10",Yes
493,Art > Other,Other,339-493,Yes,No,"2,3,4,5,6,7,10",Yes
6501,Art > Paintings > Abstract > Acrylic,Acrylic,339-66-5852-6501,Yes,No,"2,3,4,5,6,7,10",Yes
6500,Art > Paintings > Abstract > Mixed-media,Mixed media,339-66-5852-6500,Yes,No,"2,3,4,5,6,7,10",Yes
6502,Art > Paintings > Abstract > Oil,Oil,339-66-5852-6502,Yes,No,"2,3,4,5,6,7,10",Yes
6504,Art > Paintings > Abstract > Other,Other,339-66-5852-6504,Yes,No,"2,3,4,5,6,7,10",Yes
6503,Art > Paintings > Abstract > Watercolour,Watercolour,339-66-5852-6503,Yes,No,"2,3,4,5,6,7,10",Yes
7321,Art > Paintings > Flora-fauna > Acrylic,Acrylic,339-66-5851-7321,Yes,No,"2,3,4,5,6,7,10",Yes
7320,Art > Paintings > Flora-fauna > Mixed-media,Mixed media,339-66-5851-7320,Yes,No,"2,3,4,5,6,7,10",Yes
7322,Art > Paintings > Flora-fauna > Oil,Oil,339-66-5851-7322,Yes,No,"2,3,4,5,6,7,10",Yes
7324,Art > Paintings > Flora-fauna > Other,Other,339-66-5851-7324,Yes,No,"2,3,4,5,6,7,10",Yes
7323,Art > Paintings > Flora-fauna > Watercolour,Watercolour,339-66-5851-7323,Yes,No,"2,3,4,5,6,7,10",Yes
7326,Art > Paintings > Landscape > Acrylic,Acrylic,339-66-5853-7326,Yes,No,"2,3,4,5,6,7,10",Yes
7325,Art > Paintings > Landscape > Mixed-media,Mixed media,339-66-5853-7325,Yes,No,"2,3,4,5,6,7,10",Yes
7327,Art > Paintings > Landscape > Oil,Oil,339-66-5853-7327,Yes,No,"2,3,4,5,6,7,10",Yes
7329,Art > Paintings > Landscape > Other,Other,339-66-5853-7329,Yes,No,"2,3,4,5,6,7,10",Yes
7328,Art > Paintings > Landscape > Watercolour,Watercolour,339-66-5853-7328,Yes,No,"2,3,4,5,6,7,10",Yes
7331,Art > Paintings > Maori-Pasifika > Acrylic,Acrylic,339-66-5856-7331,Yes,No,"2,3,4,5,6,7,10",Yes
7330,Art > Paintings > Maori-Pasifika > Mixed-media,Mixed media,339-66-5856-7330,Yes,No,"2,3,4,5,6,7,10",Yes
7332,Art > Paintings > Maori-Pasifika > Oil,Oil,339-66-5856-7332,Yes,No,"2,3,4,5,6,7,10",Yes
